,precision,recall,f1,accuaracy
AMP,0.755581206446924,0.7699115044247787,0.7582188074058829,0.7699115044247787
AMX,0.660433510675436,0.6651376146788991,0.6624360380136561,0.6651376146788991
AMC,0.6838836316760906,0.6818181818181818,0.6827949808831074,0.6818181818181818
TZP,0.8924384027187765,0.9181818181818182,0.9051271003877639,0.9181818181818182
CXM,0.8016326530612244,0.8,0.8007839721254356,0.8
CET,0.7682749424172626,0.7699115044247787,0.7668156293182019,0.7699115044247787
TBM,0.6991150442477876,0.6991150442477876,0.6991150442477876,0.6991150442477876
TMP,0.7885716825269848,0.7876106194690266,0.7878443813658373,0.7876106194690266
CIP,0.9617058598349574,0.9606060606060606,0.9596567669835072,0.9606060606060606
CTX,0.9114405930675216,0.9047619047619048,0.9073048245193691,0.9047619047619048
CTZ,0.9103560912771438,0.9181818181818182,0.9127607114689411,0.9181818181818182
GEN,0.8606060606060606,0.8606060606060606,0.8606060606060606,0.8606060606060606
